Fecha,Hora,ubicacion,sensor,id,sector,estado,valor
14/1/25,01:08,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.20 °C
14/1/25,01:50,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,26.90 °C
14/1/25,02:06,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.20 °C
14/1/25,02:29,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,27.00 °C
14/1/25,02:46,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.10 °C
14/1/25,03:18,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,27.00 °C
14/1/25,03:34,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.10 °C
14/1/25,04:04,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,27.00 °C
14/1/25,04:23,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.60 °C
14/1/25,04:53,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,27.00 °C
14/1/25,05:10,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.10 °C
14/1/25,05:51,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,27.00 °C
14/1/25,06:08,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.10 °C
14/1/25,06:36,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,27.00 °C
14/1/25,06:53,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.20 °C
14/1/25,07:13,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,27.00 °C
14/1/25,07:32,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.10 °C
14/1/25,07:53,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,27.00 °C
14/1/25,08:09,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.20 °C
14/1/25,08:35,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,27.00 °C
14/1/25,08:51,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.10 °C
14/1/25,09:18,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,desalarmado,27.00 °C
14/1/25,09:35,SE Morón,Temperatura,S3,Temperatura Sala 2 Aires 3 y 4,Alarmado,27.10 °C
14/1/25,13:35,SE Morón,Detector,S3,Estado Aire Acondicionado 3,Alarmado,OFF
14/1/25,13:35,SE Morón,Detector,S4,Estado Aire Acondicionado 4,Alarmado,OFF
14/1/25,18:49,SE Malaver,Temperatura,S3,Temperatura Ambiente,Alarmado,27.10 °C
14/1/25,19:31,SE Malaver,Temperatura,S3,Temperatura Ambiente,desalarmado,26.80 °C
14/1/25,20:11,SE Morón,Tensión,Trifásica,Voltaje Fase S,Alarmado,0.00 V
14/1/25,20:12,SE Morón,Tensión,Trifásica,Voltaje Fase T,Alarmado,0.00 V
14/1/25,20:12,SE Morón,Tensión,Trifásica,Voltaje fase R,Alarmado,0.00 V
14/1/25,21:39,SE Morón,Tensión,Trifásica,Voltaje Fase T,desalarmado,398.54 V
14/1/25,21:39,SE Morón,Tensión,Trifásica,Voltaje fase R,desalarmado,393.18 V
14/1/25,21:40,SE Morón,Tensión,Trifásica,Voltaje Fase S,desalarmado,388.67 V
15/1/25,16:44,SE Malaver,Temperatura,S3,Temperatura Ambiente,Alarmado,27.10 °C
16/1/25,00:00,SE Malaver,Temperatura,S3,Temperatura Ambiente,Alarmado,27.10 °C
16/1/25,01:25,SE Malaver,Temperatura,S3,Temperatura Ambiente,desalarmado,27.00 °C
18/1/25,09:32,ED. Tronador,Detector,S1,ESTADO DEL GRUPO ELECTRÓGENO,desalarmado,OFF
20/1/25,09:11,SE San Alberto,Detector,S1,Estado Aire Acondicionado 1,Alarmado,OFF
20/1/25,09:11,SE San Alberto,Detector,S3,Estado Aire Acondicionado 3,Alarmado,OFF
20/1/25,12:53,SE San Alberto,Detector,S1,Estado Aire Acondicionado 1,desalarmado,ON
20/1/25,12:53,SE San Alberto,Detector,S3,Estado Aire Acondicionado 3,desalarmado,ON
24/1/25,08:29,SE San Alberto,Detector,S3,Estado Aire Acondicionado 3,Alarmado,OFF
24/1/25,08:58,SE San Alberto,Detector,S3,Estado Aire Acondicionado 3,desalarmado,ON
